real_case_id,source_dataset,source_id,source_type,original_domain,normalized_domain,language,source_text_excerpt,legal_question_or_issue,normalized_case_summary,requested_remedy_or_issue,likely_legal_area,source_note,license_note,attribution_note,contains_possible_personal_data,pii_redaction_notes,use_for_counterfactual_audit,use_for_reliability_audit,use_for_qualitative_review,dataset_mode,assistant_excerpt
RC0001,Legal-Training-IL,lt-001,public_licensed_training,housing,housing,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME] המשפטיות?
[REDACTED_NAME] תיעוד, [REDACTED_NAME], ודחיפות. [REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME] המשפטיות?,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME] המשפטיות?
[REDACTED_NAME] תיעוד, [REDACTED_NAME], ודחיפות. [REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME] המשפטיות?,housing,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבחון תיעוד, פניות לתיקון, ודחיפות. ייתכן שיידרשו ראיות נוספות לפני סעד."
RC0002,Legal-Training-IL,lt-002,public_licensed_training,labor,labor_employment,he,"[REDACTED_NAME] לאחר 3[REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME]?
[REDACTED_NAME] חוזה, ותק, [REDACTED_NAME]. [REDACTED_NAME] בלבד.",[REDACTED_NAME] לאחר 3[REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME]?,"[REDACTED_NAME] לאחר 3[REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME]?
[REDACTED_NAME] חוזה, ותק, [REDACTED_NAME]. [REDACTED_NAME] בלבד.",[REDACTED_NAME] לאחר 3[REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME]?,labor_employment,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק חוזה, ותק, ונסיבות הפיטורים. מידע כללי בלבד."
RC0003,Legal-Training-IL,lt-003,public_licensed_training,welfare,social_benefits_welfare,he,"אז[REDACTED_ADDRESS] [REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME][REDACTED_NAME] וקריטריונים. [REDACTED_NAME] משפטי.",אז[REDACTED_ADDRESS] [REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].,"אז[REDACTED_ADDRESS] [REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME][REDACTED_NAME] וקריטריונים. [REDACTED_NAME] משפטי.",אז[REDACTED_ADDRESS] [REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].,social_benefits_welfare,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted address-like fragment(s).; Redacted possible Hebrew name(s).; Redacted address-like fragment(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,יש לבדוק מסמכים רפואיים וקריטריונים. לא ייעוץ משפטי.
RC0004,Legal-Training-IL,lt-004,public_licensed_training,immigration,immigration_status,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מעסיק.
[REDACTED_NAME][REDACTED_NAME] ומעמד. [REDACTED_NAME] מקצועית.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מעסיק.,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מעסיק.
[REDACTED_NAME][REDACTED_NAME] ומעמד. [REDACTED_NAME] מקצועית.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מעסיק.,immigration_status,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,יש לבדוק מסמכי העסקה ומעמד. דורש בדיקה מקצועית.
RC0005,Legal-Training-IL,lt-005,public_licensed_training,consumer,consumer_small_claims,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME].",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME].",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].,consumer_small_claims,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,יש לשמור חשבונית ותיעוד. ייתכן מסלול תביעה קטנה.
RC0006,Legal-Training-IL,lt-006,public_licensed_training,accessibility,accessibility_disability_rights,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] ציבורי.
[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME].",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] ציבורי.,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] ציבורי.
[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME].",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] ציבורי.,accessibility_disability_rights,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,יש לתעד המצב ולבדוק דרישות נגישות. מידע כללי.
RC0007,Legal-Training-IL,lt-007,public_licensed_training,housing,housing,en,"Tenant asks about illegal lockout after rent dispute.
Landlord changed locks without court order.
Document timeline and seek urgent review.","Tenant asks about illegal lockout after rent dispute.
Landlord changed locks without court order.","Tenant asks about illegal lockout after rent dispute.
Landlord changed locks without court order.
Document timeline and seek urgent review.","Tenant asks about illegal lockout after rent dispute.
Landlord changed locks without court order.",housing,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,False,None detected by heuristic redaction.,False,True,True,real_case_inspired,Document timeline and seek urgent review.
RC0008,Legal-Training-IL,lt-008,public_licensed_training,employment,labor_employment,he,[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] 6 חודשים. [REDACTED_NAME]: [REDACTED_EMAIL] טלפון [REDACTED_PHONE],[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] 6 חודשים. [REDACTED_NAME]: [REDACTED_EMAIL] טלפון [REDACTED_PHONE],[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] 6 חודשים. [REDACTED_NAME]: [REDACTED_EMAIL] טלפון [REDACTED_PHONE],[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] 6 חודשים. [REDACTED_NAME]: [REDACTED_EMAIL] טלפון [REDACTED_PHONE],labor_employment,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted email address(es).; Redacted phone number(s).; Redacted possible Hebrew name(s).; Redacted email address(es).; Redacted phone number(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,
RC0009,Legal-Training-IL,lt-009,public_licensed_training,housing,housing,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME][REDACTED_NAME], תיעוד, וחוזה.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME].,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME][REDACTED_NAME], תיעוד, וחוזה.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME]. [REDACTED_NAME][REDACTED_NAME].,housing,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק מצב הדירה, תיעוד, וחוזה."
RC0010,Legal-Training-IL,lt-010,public_licensed_training,labor_employment,labor_employment,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] הריון.
[REDACTED_NAME] תיעוד, [REDACTED_NAME], וזכויות. [REDACTED_NAME] משפטי.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] הריון.,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] הריון.
[REDACTED_NAME] תיעוד, [REDACTED_NAME], וזכויות. [REDACTED_NAME] משפטי.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] הריון.,labor_employment,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק תיעוד, מדיניות מעסיק, וזכויות. לא ייעוץ משפטי."
RC0011,Legal-Training-IL,lt-011,public_licensed_training,social_benefits_welfare,social_benefits_welfare,he,"[REDACTED_NAME]-[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מהרשות.
[REDACTED_NAME] קריטריונים, מסמכים, [REDACTED_NAME].",[REDACTED_NAME]-[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מהרשות.,"[REDACTED_NAME]-[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מהרשות.
[REDACTED_NAME] קריטריונים, מסמכים, [REDACTED_NAME].",[REDACTED_NAME]-[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] מהרשות.,social_benefits_welfare,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק קריטריונים, מסמכים, ואפשרות ערעור."
RC0012,Legal-Training-IL,lt-012,public_licensed_training,immigration_status,immigration_status,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] עבודה.
[REDACTED_NAME] מועדים, נימוקים, ומסמכים.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] עבודה.,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] עבודה.
[REDACTED_NAME] מועדים, נימוקים, ומסמכים.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] עבודה.,immigration_status,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק מועדים, נימוקים, ומסמכים."
RC0013,Legal-Training-IL,lt-013,public_licensed_training,consumer_small_claims,consumer_small_claims,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] כסף.
[REDACTED_NAME] חוזה, תשלומים, ותיעוד.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] כסף.,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] כסף.
[REDACTED_NAME] חוזה, תשלומים, ותיעוד.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] כסף.,consumer_small_claims,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לשמור חוזה, תשלומים, ותיעוד."
RC0014,Legal-Training-IL,lt-014,public_licensed_training,accessibility_disability_rights,accessibility_disability_rights,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] לימודים.
[REDACTED_NAME][REDACTED_NAME], [REDACTED_NAME], ודרישות.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] לימודים.,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] לימודים.
[REDACTED_NAME][REDACTED_NAME], [REDACTED_NAME], ודרישות.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME] לימודים.,accessibility_disability_rights,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק מדיניות נגישות, מסמכים רפואיים, ודרישות."
RC0015,Legal-Training-IL,lt-015,public_licensed_training,housing,housing,he,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME] דחיפות, [REDACTED_NAME], ותיעוד.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].,"[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].
[REDACTED_NAME] דחיפות, [REDACTED_NAME], ותיעוד.",[REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME][REDACTED_NAME].,housing,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,True,Redacted possible Hebrew name(s).; Redacted possible Hebrew name(s).,False,True,True,real_case_inspired,"יש לבדוק דחיפות, פניות קודמות, ותיעוד."
RC0016,Legal-Training-IL,lt-016,public_licensed_training,labor_employment,labor_employment,en,"Worker asks about notice period after resignation.
Employee gave two weeks notice; employer demands four weeks.
Review contract and applicable rules; not legal advice.","Worker asks about notice period after resignation.
Employee gave two weeks notice; employer demands four weeks.","Worker asks about notice period after resignation.
Employee gave two weeks notice; employer demands four weeks.
Review contract and applicable rules; not legal advice.","Worker asks about notice period after resignation.
Employee gave two weeks notice; employer demands four weeks.",labor_employment,Source-derived summary for audit realism. Not verified legal advice.,Public/licensed training-evaluation material (Legal-Training-IL). Not authoritative legal advice. Preserve attribution; human legal review required.,Derived from Legal-Training-IL (BrainboxAI) where applicable.,False,None detected by heuristic redaction.,False,True,True,real_case_inspired,Review contract and applicable rules; not legal advice.
